name,bus,p_nom,marginal_cost,carrier,x,y,p_min_pu,ramp_limit_up,ramp_limit_down,committable,p_nom_extendable,p_max_pu
Arnot 1,South Africa,392,600,Coal,-25.9439,29.7894,0.4,2.0,2.0,False,,
Arnot 2,South Africa,392,601,Coal,-25.9439,29.7894,0.4,2.0,2.0,False,,
Arnot 3,South Africa,392,602,Coal,-25.9439,29.7894,0.4,2.0,2.0,False,,
Arnot 4,South Africa,392,603,Coal,-25.9439,29.7894,0.4,2.0,2.0,False,,
Arnot 5,South Africa,392,604,Coal,-25.9439,29.7894,0.4,2.0,2.0,False,,
Arnot 6,South Africa,392,605,Coal,-25.9439,29.7894,0.4,2.0,2.0,False,,
Camden 1,South Africa,200,1200,Coal,-26.6203,30.094,0.4,2.0,2.0,False,,
Camden 2,South Africa,200,1200,Coal,-26.6203,30.094,0.4,2.0,2.0,False,,
Camden 3,South Africa,200,1200,Coal,-26.6203,30.094,0.4,2.0,2.0,False,,
Camden 4,South Africa,196,1200,Coal,-26.6203,30.094,0.4,2.0,2.0,False,,
Camden 5,South Africa,195,1200,Coal,-26.6203,30.094,0.4,2.0,2.0,False,,
Camden 6,South Africa,195,1200,Coal,-26.6203,30.094,0.4,2.0,2.0,False,,
Camden 7,South Africa,190,1200,Coal,-26.6203,30.094,0.4,2.0,2.0,False,,
Camden 8,South Africa,185,1200,Coal,-26.6203,30.094,0.4,2.0,2.0,False,,
Duvha 1,South Africa,600,614,Coal,-25.964,29.3372,0.4,2.0,2.0,False,,
Duvha 2,South Africa,600,615,Coal,-25.964,29.3372,0.4,2.0,2.0,False,,
Duvha 3,South Africa,600,616,Coal,-25.964,29.3372,0.4,2.0,2.0,False,,
Duvha 4,South Africa,600,617,Coal,-25.964,29.3372,0.4,2.0,2.0,False,,
Duvha 5,South Africa,600,618,Coal,-25.964,29.3372,0.4,2.0,2.0,False,,
Duvha 6,South Africa,600,619,Coal,-25.964,29.3372,0.4,2.0,2.0,False,,
Grootvlei 1,South Africa,200,620,Coal,-26.7667,28.5,0.4,2.0,2.0,False,,
Grootvlei 2,South Africa,200,621,Coal,-26.7667,28.5,0.4,2.0,2.0,False,,
Grootvlei 3,South Africa,200,622,Coal,-26.7667,28.5,0.4,2.0,2.0,False,,
Grootvlei 4,South Africa,200,623,Coal,-26.7667,28.5,0.4,2.0,2.0,False,,
Grootvlei 5,South Africa,200,624,Coal,-26.7667,28.5,0.4,2.0,2.0,False,,
Grootvlei 6,South Africa,200,625,Coal,-26.7667,28.5,0.4,2.0,2.0,False,,
Hendrina 1,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Hendrina 2,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Hendrina 3,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Hendrina 4,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Hendrina 5,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Hendrina 6,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Hendrina 7,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Hendrina 8,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Hendrina 9,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Hendrina 10,South Africa,190,1000,Coal,-26.0331,29.6,0.4,2.0,2.0,False,,
Kendal 1,South Africa,686,636,Coal,-26.09,28.9714,0.4,2.0,2.0,False,,
Kendal 2,South Africa,686,637,Coal,-26.09,28.9714,0.4,2.0,2.0,False,,
Kendal 3,South Africa,686,638,Coal,-26.09,28.9714,0.4,2.0,2.0,False,,
Kendal 4,South Africa,686,639,Coal,-26.09,28.9714,0.4,2.0,2.0,False,,
Kendal 5,South Africa,686,640,Coal,-26.09,28.9714,0.4,2.0,2.0,False,,
Kendal 6,South Africa,686,641,Coal,-26.09,28.9714,0.4,2.0,2.0,False,,
Kusile 1,South Africa,800,642,Coal,-25.9164,28.9172,0.4,2.0,2.0,False,,
Kusile 2,South Africa,800,643,Coal,-25.9164,28.9172,0.4,2.0,2.0,False,,
Kusile 3,South Africa,800,644,Coal,-25.9164,28.9172,0.4,2.0,2.0,False,,
Kusile 4,South Africa,800,645,Coal,-25.9164,28.9172,0.4,2.0,2.0,False,,
Kusile 5,South Africa,800,646,Coal,-25.9164,28.9172,0.4,2.0,2.0,False,,
Kusile 6,South Africa,800,647,Coal,-25.9164,28.9172,0.4,2.0,2.0,False,,
Lethabo 1,South Africa,618,648,Coal,-26.7419,27.9775,0.4,2.0,2.0,False,,
Lethabo 2,South Africa,618,649,Coal,-26.7419,27.9775,0.4,2.0,2.0,False,,
Lethabo 3,South Africa,618,650,Coal,-26.7419,27.9775,0.4,2.0,2.0,False,,
Lethabo 4,South Africa,618,651,Coal,-26.7419,27.9775,0.4,2.0,2.0,False,,
Lethabo 5,South Africa,618,652,Coal,-26.7419,27.9775,0.4,2.0,2.0,False,,
Lethabo 6,South Africa,618,653,Coal,-26.7419,27.9775,0.4,2.0,2.0,False,,
Majuba 1,South Africa,685,654,Coal,-27.1006,29.7714,0.4,2.0,2.0,False,,
Majuba 2,South Africa,685,655,Coal,-27.1006,29.7714,0.4,2.0,2.0,False,,
Majuba 3,South Africa,685,656,Coal,-27.1006,29.7714,0.4,2.0,2.0,False,,
Majuba 4,South Africa,685,657,Coal,-27.1006,29.7714,0.4,2.0,2.0,False,,
Majuba 5,South Africa,685,658,Coal,-27.1006,29.7714,0.4,2.0,2.0,False,,
Majuba 6,South Africa,685,659,Coal,-27.1006,29.7714,0.4,2.0,2.0,False,,
Matimba 1,South Africa,665,660,Coal,-23.6683,27.6106,0.4,2.0,2.0,False,,
Matimba 2,South Africa,665,661,Coal,-23.6683,27.6106,0.4,2.0,2.0,False,,
Matimba 3,South Africa,665,662,Coal,-23.6683,27.6106,0.4,2.0,2.0,False,,
Matimba 4,South Africa,665,663,Coal,-23.6683,27.6106,0.4,2.0,2.0,False,,
Matimba 5,South Africa,665,664,Coal,-23.6683,27.6106,0.4,2.0,2.0,False,,
Matimba 6,South Africa,665,665,Coal,-23.6683,27.6106,0.4,2.0,2.0,False,,
Matla 1,South Africa,600,500,Coal,-26.2825,29.1417,0.4,2.0,2.0,False,,
Matla 2,South Africa,600,500,Coal,-26.2825,29.1417,0.4,2.0,2.0,False,,
Matla 3,South Africa,600,500,Coal,-26.2825,29.1417,0.4,2.0,2.0,False,,
Matla 4,South Africa,600,500,Coal,-26.2825,29.1417,0.4,2.0,2.0,False,,
Matla 5,South Africa,600,500,Coal,-26.2825,29.1417,0.4,2.0,2.0,False,,
Matla 6,South Africa,600,500,Coal,-26.2825,29.1417,0.4,2.0,2.0,False,,
Medupi 1,South Africa,800,800,Coal,-23.7,27.55,0.4,2.0,2.0,False,,
Medupi 2,South Africa,800,800,Coal,-23.7,27.55,0.4,2.0,2.0,False,,
Medupi 3,South Africa,800,800,Coal,-23.7,27.55,0.4,2.0,2.0,False,,
Medupi 4,South Africa,800,800,Coal,-23.7,27.55,0.4,2.0,2.0,False,,
Medupi 5,South Africa,800,800,Coal,-23.7,27.55,0.4,2.0,2.0,False,,
Medupi 6,South Africa,800,800,Coal,-23.7,27.55,0.4,2.0,2.0,False,,
Koeberg 1,South Africa,930,150,Nuclear,-33.6764,18.432,0.4,2.0,2.0,False,,
Koeberg 2,South Africa,930,150,Nuclear,-33.6764,18.432,0.4,2.0,2.0,False,,
Ingula  1,South Africa,333,319,PSH,-28.1211,29.8233,0.1,1.0,1.0,False,,
Ingula  2,South Africa,333,318,PSH,-28.1211,29.8233,0.1,1.0,1.0,False,,
Ingula  3,South Africa,333,317,PSH,-28.1211,29.8233,0.1,1.0,1.0,False,,
Ingula  4,South Africa,333,316,PSH,-28.1211,29.8233,0.1,1.0,1.0,False,,
Drakensberg  1,South Africa,250,315,PSH,-28.2806,29.5867,0.1,1.0,1.0,False,,
Drakensberg  2,South Africa,250,314,PSH,-28.2806,29.5867,0.1,1.0,1.0,False,,
Drakensberg  3,South Africa,250,313,PSH,-28.2806,29.5867,0.1,1.0,1.0,False,,
Drakensberg  4,South Africa,250,312,PSH,-28.2806,29.5867,0.1,1.0,1.0,False,,
Palmiet  1,South Africa,200,311,PSH,-34.15,18.9,0.1,1.0,1.0,False,,
Palmiet  2,South Africa,200,310,PSH,-34.15,18.9,0.1,1.0,1.0,False,,
Steenbras  1,South Africa,45,309,PSH,-34.1525,18.8991,0.1,1.0,1.0,False,,
Steenbras  2,South Africa,45,308,PSH,-34.1525,18.8991,0.1,1.0,1.0,False,,
Steenbras  3,South Africa,45,307,PSH,-34.1525,18.8991,0.1,1.0,1.0,False,,
Steenbras  4,South Africa,45,306,PSH,-34.1525,18.8991,0.1,1.0,1.0,False,,
Gariep Dam 1,South Africa,90,305,Hydro,-30.6236,25.5064,0.1,1.0,1.0,False,,
Gariep Dam 2,South Africa,90,304,Hydro,-30.6236,25.5064,0.1,1.0,1.0,False,,
Gariep Dam 3,South Africa,90,303,Hydro,-30.6236,25.5064,0.1,1.0,1.0,False,,
Gariep Dam 4,South Africa,90,302,Hydro,-30.6236,25.5064,0.1,1.0,1.0,False,,
Van der Kloof 1,South Africa,120,301,Hydro,-29.9922,24.7317,0.1,1.0,1.0,False,,
Van der Kloof 2,South Africa,120,300,Hydro,-29.9922,24.7317,0.1,1.0,1.0,False,,
Jeffreys Bay Wind ,South Africa,138,0,Wind,-34.0024,24.8504,,,,False,,
Cookhouse Wind ,South Africa,139,0,Wind,-32.7411,25.9094,,,,False,,
Gouda Wind Farm ,South Africa,138,0,Wind,-33.3,19.0333,,,,False,,
Kalkbult Solar ,South Africa,75,0,PV,-30.1595,24.1306,,,,False,,
Jasper Solar ,South Africa,75,0,PV,-28.2981,23.3656,,,,False,,
Kathu Solar ,South Africa,100,0,CSP,-27.6117,23.0289,,,,False,,
Bokpoort CSP ,South Africa,50,0,CSP,-28.7242,21.9922,,,,False,,
Ngodwana Biomass ,South Africa,25,707,Biomass,-25.5781,30.6589,0.1,1.0,1.0,False,,
Loadshedding,South Africa,1,10000,AC,,,0.0,,,False,1.0,
Sync Condenser,South Africa,1,-10000,AC,,,-1.0,,,False,1.0,0.0
